Country Code,City,Location,Coordinates,Pollutant,Source Name,Unit,Value,Last Updated,Country Label
CN,厦门市,湖里中学,24.5058:118.0936,PM2.5,ChinaAQIData,µg/m³,15.0,2021-08-09T13:00:00+02:00,China
EC,Quito,Carapungo,-0.09548:-78.44988,PM10,Quito REMMAQ,µg/m³,0.0,2021-11-24T17:00:00+01:00,Ecuador
EC,Quito,Los Chillos,-0.29693:-78.45555,PM2.5,Quito REMMAQ,µg/m³,0.0,2021-11-24T17:00:00+01:00,Ecuador
EC,Quito,San Antonio,0.00205:-78.45199,PM2.5,Quito REMMAQ,µg/m³,0.0,2021-11-24T17:00:00+01:00,Ecuador
EE,Jõgevamaa,EE0016A,58.7027778595238:26.75889778,PM2.5,EEA Estonia,µg/m³,8.0,2021-09-23T21:00:00+02:00,Estonia
EE,Lääne-Virumaa,EE0009R,59.4944375368663:25.9305893283373,NO2,EEA Estonia,µg/m³,1.58989,2021-09-23T21:00:00+02:00,Estonia
EE,Harjumaa,EE0018A,59.4141766899562:24.6495019016544,PM10,EEA Estonia,µg/m³,12.4,2021-09-23T21:00:00+02:00,Estonia
CN,嘉兴市,嘉兴学院,30.7478:120.726,CO,ChinaAQIData,µg/m³,600.0,2021-08-09T13:00:00+02:00,China
CN,嘉兴市,嘉兴学院,30.7478:120.726,O3,ChinaAQIData,µg/m³,205.0,2021-08-09T13:00:00+02:00,China
CA,QUEBEC,Québec - École Les P,46.77417:-71.36972,NO2,AirNow,ppm,0.001,2021-09-16T19:00:00+02:00,Canada
CA,MANITOBA,Winnipeg_Scotia,49.9319:-96.8631,PM2.5,AirNow,µg/m³,4.6,2021-04-30T06:00:00+02:00,Canada
CA,ALBERTA,Edmonton Central,53.5453:-113.4992,NO2,AirNow,ppm,0.007,2021-02-26T23:00:00+01:00,Canada
CH,Bern,CH0041A,46.9763828250552:7.47871728542173,NO2,EEA Switzerland,µg/m³,25.8977,2021-05-18T08:00:00+02:00,Switzerland
CN,安庆市,马山宾馆,30.5119:117.0331,NO2,ChinaAQIData,µg/m³,14.0,2021-08-09T13:00:00+02:00,China
CN,黄山市,黄山东路89号,29.7178:118.327,NO2,ChinaAQIData,µg/m³,9.0,2021-08-09T13:00:00+02:00,China
CN,黄山市,延安路89号,29.6963:118.2903,CO,ChinaAQIData,µg/m³,500.0,2021-08-09T13:00:00+02:00,China
CN,黄山市,延安路89号,29.6963:118.2903,SO2,ChinaAQIData,µg/m³,5.0,2021-08-09T13:00:00+02:00,China
CN,合肥市,明珠广场,31.7848:117.1959,PM2.5,ChinaAQIData,µg/m³,27.0,2021-08-09T13:00:00+02:00,China
CN,合肥市,琥珀山庄,31.8707:117.2588,CO,ChinaAQIData,µg/m³,900.0,2021-08-09T13:00:00+02:00,China
CN,合肥市,长江中路,31.8571:117.25,NO2,ChinaAQIData,µg/m³,24.0,2021-08-09T13:00:00+02:00,China
CN,合肥市,滨湖新区,31.7385:117.2776,NO2,ChinaAQIData,µg/m³,51.0,2021-08-09T13:00:00+02:00,China
CN,大连市,开发区,39.0496:121.7811,CO,ChinaAQIData,µg/m³,1100.0,2021-08-09T13:00:00+02:00,China
CN,阜阳市,阜阳职业技术学院,32.8892:115.784,PM2.5,ChinaAQIData,µg/m³,8.0,2021-08-09T13:00:00+02:00,China
CN,铜陵市,市第九中学,30.8792:117.7439,PM2.5,ChinaAQIData,µg/m³,53.0,2021-08-09T13:00:00+02:00,China
CN,铜陵市,市第四中学,30.9412:117.8177,PM2.5,ChinaAQIData,µg/m³,37.0,2021-08-09T13:00:00+02:00,China
CN,铜陵市,市第四中学,30.9412:117.8177,CO,ChinaAQIData,µg/m³,1100.0,2021-08-09T13:00:00+02:00,China
CN,芜湖市,科创中心,31.4134:118.3714,CO,ChinaAQIData,µg/m³,700.0,2021-08-09T13:00:00+02:00,China
CN,芜湖市,科创中心,31.4134:118.3714,SO2,ChinaAQIData,µg/m³,6.0,2021-08-09T13:00:00+02:00,China
CN,宣城市,敬亭山子站,30.9743:118.7385,CO,ChinaAQIData,µg/m³,800.0,2021-08-09T13:00:00+02:00,China
CN,淮北市,烈山区政府,33.9007:116.8091,O3,ChinaAQIData,µg/m³,121.0,2021-08-09T13:00:00+02:00,China
CN,东营市,市环保局,37.4309:118.6614,PM2.5,ChinaAQIData,µg/m³,56.0,2021-08-09T13:00:00+02:00,China
CN,榆林市,世纪广场,38.2911:109.7456,NO2,ChinaAQIData,µg/m³,21.0,2021-08-09T13:00:00+02:00,China
CN,滁州市,市政府原办公楼,32.3038:118.3118,PM2.5,ChinaAQIData,µg/m³,24.0,2021-08-09T13:00:00+02:00,China
CN,重庆市,南坪,29.5102:106.5777,PM2.5,ChinaAQIData,µg/m³,19.0,2021-08-09T13:00:00+02:00,China
CN,漳州市,九湖(对照点),24.4674:117.6336,SO2,ChinaAQIData,µg/m³,3.0,2021-08-09T13:00:00+02:00,China
CN,郑州市,岗李水库(对照点),34.91089:113.51488,PM2.5,ChinaAQIData,µg/m³,24.0,2021-08-09T13:00:00+02:00,China
CN,洛阳市,开发区管委会,34.623:112.3844,CO,ChinaAQIData,µg/m³,500.0,2021-08-09T13:00:00+02:00,China
CN,宿州市,远航博物馆,33.666:116.9509,NO2,ChinaAQIData,µg/m³,12.0,2021-08-09T13:00:00+02:00,China
CN,开封市,龙亭公园,34.8106:114.3438,NO2,ChinaAQIData,µg/m³,5.0,2021-08-09T13:00:00+02:00,China
CN,重庆市,上清寺,29.5654:106.5468,PM2.5,ChinaAQIData,µg/m³,13.0,2021-08-09T13:00:00+02:00,China
CN,宜春市,宜春学院北校区,27.8097:114.375,CO,ChinaAQIData,µg/m³,600.0,2021-08-09T13:00:00+02:00,China
CN,齐齐哈尔市,富区青少年活动中心,47.2075:123.6333,CO,ChinaAQIData,µg/m³,500.0,2021-08-09T13:00:00+02:00,China
CN,绵阳市,市人大,31.4535:104.7563,PM10,ChinaAQIData,µg/m³,36.0,2021-08-09T13:00:00+02:00,China
CN,绵阳市,市人大,31.4535:104.7563,CO,ChinaAQIData,µg/m³,700.0,2021-08-09T13:00:00+02:00,China
CN,忻州市,市政府,38.4153:112.7283,O3,ChinaAQIData,µg/m³,173.0,2021-08-09T13:00:00+02:00,China
CN,扬州市,广陵建设局,32.3942:119.4686,O3,ChinaAQIData,µg/m³,200.0,2021-08-09T13:00:00+02:00,China
CN,兰州市,教育港,36.1058:103.7158,NO2,ChinaAQIData,µg/m³,24.0,2021-08-09T13:00:00+02:00,China
CN,常德市,武陵区永安,29.0289:111.7153,PM10,ChinaAQIData,µg/m³,18.0,2021-08-09T13:00:00+02:00,China
CN,宿州市,皖北煤电集团,33.6252:116.9648,PM2.5,ChinaAQIData,µg/m³,13.0,2021-08-09T13:00:00+02:00,China
CN,荆州市,管委会,30.3122:112.2747,PM2.5,ChinaAQIData,µg/m³,11.0,2021-08-09T13:00:00+02:00,China
CN,呼和浩特市,红旗小学,40.8178:111.5968,NO2,ChinaAQIData,µg/m³,6.0,2021-08-09T13:00:00+02:00,China
CN,常州市,经开区,31.7748:120.0522,NO2,ChinaAQIData,µg/m³,56.0,2021-08-09T13:00:00+02:00,China
CN,平顶山市,规划局,33.73:113.3025,CO,ChinaAQIData,µg/m³,500.0,2021-08-09T13:00:00+02:00,China
CN,南昌市,外国语学校,28.7031:115.9721,CO,ChinaAQIData,µg/m³,600.0,2021-08-09T13:00:00+02:00,China
CN,徐州市,桃园路,34.2911:117.244,O3,ChinaAQIData,µg/m³,146.0,2021-08-09T13:00:00+02:00,China
CN,南京市,浦口,32.0931:118.6414,PM10,ChinaAQIData,µg/m³,61.0,2021-08-09T13:00:00+02:00,China
CN,南京市,浦口,32.0931:118.6414,PM2.5,ChinaAQIData,µg/m³,14.0,2021-08-09T13:00:00+02:00,China
CN,石家庄市,22中南校区,38.0378:114.5481,PM2.5,ChinaAQIData,µg/m³,23.0,2021-08-09T13:00:00+02:00,China
CN,石家庄市,西北水源,38.1328:114.4898,NO2,ChinaAQIData,µg/m³,11.0,2021-08-09T13:00:00+02:00,China
CN,泰安市,电力学校,36.1758:117.1089,CO,ChinaAQIData,µg/m³,900.0,2021-08-09T13:00:00+02:00,China
CN,张家界市,未央路,29.3547:110.5594,PM2.5,ChinaAQIData,µg/m³,28.0,2021-08-09T13:00:00+02:00,China
CN,无锡市,漆塘,31.5031:120.242,NO2,ChinaAQIData,µg/m³,7.0,2021-08-09T13:00:00+02:00,China
MX,JALISCO,Atemajac,20.719444:-103.355278,NO2,AirNow,ppm,0.019,2021-08-30T17:00:00+02:00,Mexico
MX,Durango,ITD,24.034472222222:-104.64502777778,PM2.5,Sinaica Mexico,µg/m³,8.5521,2021-09-23T21:00:00+02:00,Mexico
MX,Iztapalapa,Santiago Acahualtepec,19.34561:-99.009380833333,PM2.5,Sinaica Mexico,µg/m³,11.0,2021-09-23T21:00:00+02:00,Mexico
MX,Durango,IPN,24.051555555556:-104.61136111111,CO,Sinaica Mexico,ppm,1.4579,2021-09-23T20:00:00+02:00,Mexico
MX,Juárez,Instituto de Ingeniería y Tecnología,31.743333333333:-106.43166666667,O3,Sinaica Mexico,ppm,0.0594,2021-09-23T20:00:00+02:00,Mexico
MX,Tlalnepantla de Baz,La Presa,19.535:-99.117777777778,SO2,Sinaica Mexico,ppm,0.0,2021-09-23T20:00:00+02:00,Mexico
MX,Huichapan,Hospital,20.375111111111:-99.654444444444,O3,Sinaica Mexico,ppm,0.02253875,2021-09-23T20:00:00+02:00,Mexico
MX,Santa Elena,San Mateo Atenco,19.280416666667:-99.541666666667,NO2,Sinaica Mexico,ppm,0.027,2021-04-16T12:00:00+02:00,Mexico
MX,Pesquería,Pesquería,25.790555555556:-100.07852777778,NO2,Sinaica Mexico,ppm,0.0058,2021-09-23T19:00:00+02:00,Mexico
MX,Villa de las Flores,Villa de las Flores,19.6575:-99.096666666667,PM10,Sinaica Mexico,µg/m³,53.0,2021-09-23T19:00:00+02:00,Mexico
MX,Monterrey,Pueblo Serena,25.575277777778:-100.24916666667,PM10,Sinaica Mexico,µg/m³,36.0,2021-09-23T18:00:00+02:00,Mexico
MX,San Cristóbal Huichochitlán,San Cristobal,19.327222222222:-99.634288888889,NO2,Sinaica Mexico,ppm,0.012,2021-09-23T18:00:00+02:00,Mexico
MX,Pachuca de Soto,Jardín del Maestro,20.120555555556:-98.74,NO2,Sinaica Mexico,ppm,0.00300722222222222,2021-09-23T18:00:00+02:00,Mexico
MX,Miguel Hidalgo,Miguel Hidalgo,19.404:-99.202722222222,NO2,Sinaica Mexico,ppm,0.019,2021-09-23T18:00:00+02:00,Mexico
MX,Querétaro,Félix Osores,20.636819444444:-100.46388333333,O3,Sinaica Mexico,ppm,0.24438,2021-09-23T18:00:00+02:00,Mexico
MX,Nueva Oxtotitlán,Oxtotitlán,19.283444444444:-99.683488888889,PM10,Sinaica Mexico,µg/m³,15.0,2021-09-23T13:00:00+02:00,Mexico
MX,San Luis Potosí,Escuela Primaria 1° de mayo,22.159444444444:-100.95333333333,NO2,Sinaica Mexico,ppm,0.0039736,2021-09-23T13:00:00+02:00,Mexico
MX,Tepeji del Río de Ocampo,Primaria Melchor Ocampo,20.505555555556:-99.580277777778,NO2,Sinaica Mexico,ppm,0.019224375,2021-09-23T12:00:00+02:00,Mexico
